 9.00000000000000E+01  0.00000000000000E+00  1.85563745870454E+01 -1.80000000000000E+02  0.00000000000000E+00  2.48724340481558E+00 
 9.00000000000000E+01  3.60000000000000E-01  1.85516773101973E+01 -1.79640000000000E+02  0.00000000000000E+00  2.46078361515669E+00 
 9.00000000000000E+01  7.20000000000000E-01  1.85375917816418E+01 -1.79280000000000E+02  0.00000000000000E+00  2.43572021454971E+00 
 9.00000000000000E+01  1.08000000000000E+00  1.85141369082005E+01 -1.78920000000000E+02  0.00000000000000E+00  2.41205540527469E+00 
 9.00000000000000E+01  1.44000000000000E+00  1.84813441543006E+01 -1.78560000000000E+02  0.00000000000000E+00  2.38979096341865E+00 
 9.00000000000000E+01  1.80000000000000E+00  1.84392574805241E+01 -1.78200000000000E+02  0.00000000000000E+00  2.36892823763533E+00 
 9.00000000000000E+01  2.16000000000000E+00  1.83879332542504E+01 -1.77840000000000E+02  0.00000000000000E+00  2.34946814934934E+00 
 9.00000000000000E+01  2.52000000000000E+00  1.83274401353229E+01 -1.77480000000000E+02  0.00000000000000E+00  2.33141119279729E+00 
 9.00000000000000E+01  2.88000000000000E+00  1.82578589360538E+01 -1.77120000000000E+02  0.00000000000000E+00  2.31475743540781E+00 
 9.00000000000000E+01  3.24000000000000E+00  1.81792824577824E+01 -1.76760000000000E+02  0.00000000000000E+00  2.29950651839746E+00 
 9.00000000000000E+01  3.60000000000000E+00  1.80918153027659E+01 -1.76400000000000E+02  0.00000000000000E+00  2.28565765757409E+00 
 9.00000000000000E+01  3.96000000000000E+00  1.79955736629615E+01 -1.76040000000000E+02  0.00000000000000E+00  2.27320964437900E+00 
 9.00000000000000E+01  4.32000000000000E+00  1.78906850856419E+01 -1.75680000000000E+02  0.00000000000000E+00  2.26216084714533E+00 
 9.00000000000000E+01  4.68000000000000E+00  1.77772882168192E+01 -1.75320000000000E+02  0.00000000000000E+00  2.25250921258370E+00 
 9.00000000000000E+01  5.04000000000000E+00  1.76555325230294E+01 -1.74960000000000E+02  0.00000000000000E+00  2.24425226749332E+00 
 9.00000000000000E+01  5.40000000000000E+00  1.75255779921160E+01 -1.74600000000000E+02  0.00000000000000E+00  2.23738712068956E+00 
 9.00000000000000E+01  5.76000000000000E+00  1.73875948141466E+01 -1.74240000000000E+02  0.00000000000000E+00  2.23191046515030E+00 
 9.00000000000000E+01  6.12000000000000E+00  1.72417630429211E+01 -1.73880000000000E+02  0.00000000000000E+00  2.22781858037971E+00 
