-9.0000E+001	-1.4952E+001	-3.3366E+002
-8.9820E+001	-1.4952E+001	-5.9445E+001
-8.9640E+001	-1.4952E+001	-5.3424E+001
-8.9459E+001	-1.4953E+001	-4.9902E+001
-8.9279E+001	-1.4953E+001	-4.7404E+001
-8.9099E+001	-1.4954E+001	-4.5466E+001
-8.8919E+001	-1.4954E+001	-4.3882E+001
-8.8739E+001	-1.4955E+001	-4.2544E+001
-8.8559E+001	-1.4956E+001	-4.1384E+001
-8.8378E+001	-1.4957E+001	-4.0361E+001
-8.8198E+001	-1.4958E+001	-3.9446E+001
-8.8018E+001	-1.4959E+001	-3.8619E+001
-8.7838E+001	-1.4960E+001	-3.7864E+001
-8.7658E+001	-1.4962E+001	-3.7169E+001
-8.7477E+001	-1.4963E+001	-3.6526E+001
-8.7297E+001	-1.4965E+001	-3.5927E+001
-8.7117E+001	-1.4967E+001	-3.5367E+001
-8.6937E+001	-1.4968E+001	-3.4841E+001
-8.6757E+001	-1.4970E+001	-3.4345E+001
-8.6577E+001	-1.4972E+001	-3.3877E+001
-8.6396E+001	-1.4975E+001	-3.3432E+001
-8.6216E+001	-1.4977E+001	-3.3009E+001
-8.6036E+001	-1.4980E+001	-3.2606E+001
-8.5856E+001	-1.4982E+001	-3.2221E+001
-8.5676E+001	-1.4985E+001	-3.1852E+001
-8.5495E+001	-1.4988E+001	-3.1498E+001
-8.5315E+001	-1.4991E+001	-3.1159E+001
-8.5135E+001	-1.4994E+001	-3.0832E+001
-8.4955E+001	-1.4997E+001	-3.0517E+001
-8.4775E+001	-1.5000E+001	-3.0214E+001
-8.4595E+001	-1.5004E+001	-2.9921E+001
-8.4414E+001	-1.5007E+001	-2.9637E+001
-8.4234E+001	-1.5011E+001	-2.9363E+001
-8.4054E+001	-1.5015E+001	-2.9097E+001
-8.3874E+001	-1.5019E+001	-2.8840E+001
-8.3694E+001	-1.5023E+001	-2.8589E+001
-8.3514E+001	-1.5028E+001	-2.8347E+001
-8.3333E+001	-1.5032E+001	-2.8110E+001
-8.3153E+001	-1.5037E+001	-2.7881E+001
-8.2973E+001	-1.5042E+001	-2.7657E+001
-8.2793E+001	-1.5047E+001	-2.7439E+001
-8.2613E+001	-1.5052E+001	-2.7227E+001
-8.2432E+001	-1.5057E+001	-2.7019E+001
-8.2252E+001	-1.5062E+001	-2.6817E+001
-8.2072E+001	-1.5068E+001	-2.6620E+001
-8.1892E+001	-1.5074E+001	-2.6427E+001
-8.1712E+001	-1.5079E+001	-2.6239E+001
-8.1532E+001	-1.5085E+001	-2.6055E+001
-8.1351E+001	-1.5092E+001	-2.5875E+001
-8.1171E+001	-1.5098E+001	-2.5698E+001
-8.0991E+001	-1.5105E+001	-2.5526E+001
-8.0811E+001	-1.5111E+001	-2.5357E+001
-8.0631E+001	-1.5118E+001	-2.5191E+001
-8.0450E+001	-1.5126E+001	-2.5029E+001
-8.0270E+001	-1.5133E+001	-2.4870E+001
-8.0090E+001	-1.5140E+001	-2.4714E+001
-7.9910E+001	-1.5148E+001	-2.4561E+001
-7.9730E+001	-1.5156E+001	-2.4411E+001
-7.9550E+001	-1.5164E+001	-2.4264E+001
-7.9369E+001	-1.5172E+001	-2.4119E+001
-7.9189E+001	-1.5181E+001	-2.3977E+001
-7.9009E+001	-1.5190E+001	-2.3838E+001
-7.8829E+001	-1.5199E+001	-2.3701E+001
-7.8649E+001	-1.5208E+001	-2.3567E+001
-7.8468E+001	-1.5217E+001	-2.3434E+001
-7.8288E+001	-1.5227E+001	-2.3305E+001
-7.8108E+001	-1.5236E+001	-2.3177E+001
-7.7928E+001	-1.5247E+001	-2.3051E+001
-7.7748E+001	-1.5257E+001	-2.2928E+001
-7.7568E+001	-1.5267E+001	-2.2807E+001
-7.7387E+001	-1.5278E+001	-2.2687E+001
-7.7207E+001	-1.5289E+001	-2.2570E+001
-7.7027E+001	-1.5300E+001	-2.2454E+001
-7.6847E+001	-1.5312E+001	-2.2340E+001
-7.6667E+001	-1.5324E+001	-2.2228E+001
-7.6486E+001	-1.5336E+001	-2.2118E+001
-7.6306E+001	-1.5348E+001	-2.2010E+001
-7.6126E+001	-1.5361E+001	-2.1903E+001
-7.5946E+001	-1.5374E+001	-2.1798E+001
-7.5766E+001	-1.5387E+001	-2.1695E+001
-7.5586E+001	-1.5400E+001	-2.1593E+001
-7.5405E+001	-1.5414E+001	-2.1493E+001
-7.5225E+001	-1.5428E+001	-2.1394E+001
-7.5045E+001	-1.5442E+001	-2.1297E+001
-7.4865E+001	-1.5457E+001	-2.1201E+001
-7.4685E+001	-1.5472E+001	-2.1107E+001
-7.4505E+001	-1.5487E+001	-2.1014E+001
-7.4324E+001	-1.5503E+001	-2.0922E+001
-7.4144E+001	-1.5519E+001	-2.0832E+001
-7.3964E+001	-1.5535E+001	-2.0744E+001
-7.3784E+001	-1.5552E+001	-2.0656E+001
