 1.00000000000000E+05  2.00004239230951E+02  1.60453969987061E+00
 1.01741936618061E+05  2.00004388208405E+02  1.63248985407342E+00
 1.03514216667934E+05  2.00004542421532E+02  1.66092694885353E+00
 1.05317368712972E+05  2.00004702053877E+02  1.68985930756194E+00
 1.07151930523761E+05  2.00004867296467E+02  1.71929574213177E+00
 1.09018449238513E+05  2.00005038345999E+02  1.74924489008009E+00
 1.10917481526240E+05  2.00005215406885E+02  1.77971577412407E+00
 1.12849593752776E+05  2.00005398690316E+02  1.81071748179114E+00
 1.14815362149688E+05  2.00005588414608E+02  1.84225913206246E+00
 1.16815372986133E+05  2.00005784806571E+02  1.87435026528600E+00
 1.18850222743702E+05  2.00005988100329E+02  1.90700039569996E+00
 1.20920518294321E+05  2.00006198538593E+02  1.94021931478273E+00
 1.23026877081238E+05  2.00006416372372E+02  1.97401689298746E+00
 1.25169927303173E+05  2.00006641861439E+02  2.00840318807822E+00
 1.27350308101667E+05  2.00006875275131E+02  2.04338852008693E+00
 1.29568669751702E+05  2.00007116891481E+02  2.07898319719296E+00
 1.31825673855641E+05  2.00007366999440E+02  2.11519803049439E+00
 1.34121993540537E+05  2.00007625897031E+02  2.15204369165691E+00
 1.36458313658893E+05  2.00007893893080E+02  2.18953116944894E+00
 1.38835330992905E+05  2.00008171307368E+02  2.22767162653914E+00
 1.41253754462276E+05  2.00008458471047E+02  2.26647649463157E+00
 1.43714305335639E+05  2.00008755727111E+02  2.30595742509748E+00
 1.46217717445672E+05  2.00009063429617E+02  2.34612603489171E+00
 1.48764737407951E+05  2.00009381945917E+02  2.38699435824229E+00
 1.51356124843621E+05  2.00009711656249E+02  2.42857463058217E+00
 1.53992652605949E+05  2.00010052954077E+02  2.47087925765649E+00
 1.56675107010815E+05  2.00010406246219E+02  2.51392076159825E+00
 1.59404288071222E+05  2.00010771954717E+02  2.55771208772795E+00
 1.62181009735893E+05  2.00011150515548E+02  2.60226620693900E+00
 1.65006100132023E+05  2.00011542380535E+02  2.64759644027482E+00
 1.67880401812256E+05  2.00011948017492E+02  2.69371634312029E+00
 1.70804772005971E+05  2.00012367910448E+02  2.74063968218069E+00
