 9.00000000000000E+01  0.00000000000000E+00  1.27263477292389E+02 -1.80000000000000E+02  0.00000000000000E+00  4.12909490769648E-32 
 9.00000000000000E+01  3.60000000000000E-01  1.27219293843346E+02 -1.79640000000000E+02  0.00000000000000E+00  1.13249358008441E-04 
 9.00000000000000E+01  7.20000000000000E-01  1.27086751267665E+02 -1.79280000000000E+02  0.00000000000000E+00  4.67818930859585E-04 
 9.00000000000000E+01  1.08000000000000E+00  1.26865873245081E+02 -1.78920000000000E+02  0.00000000000000E+00  1.07707890429804E-03 
 9.00000000000000E+01  1.44000000000000E+00  1.26556700458807E+02 -1.78560000000000E+02  0.00000000000000E+00  1.94094725417115E-03 
 9.00000000000000E+01  1.80000000000000E+00  1.26159292417441E+02 -1.78200000000000E+02  0.00000000000000E+00  3.04482487487819E-03 
 9.00000000000000E+01  2.16000000000000E+00  1.25673729998462E+02 -1.77840000000000E+02  0.00000000000000E+00  4.35975600502009E-03 
 9.00000000000000E+01  2.52000000000000E+00  1.25100118705985E+02 -1.77480000000000E+02  0.00000000000000E+00  5.84380108442516E-03 
 9.00000000000000E+01  2.88000000000000E+00  1.24438592633170E+02 -1.77120000000000E+02  0.00000000000000E+00  7.44453136601302E-03 
 9.00000000000000E+01  3.24000000000000E+00  1.23689319117225E+02 -1.76760000000000E+02  0.00000000000000E+00  9.10248314044910E-03 
 9.00000000000000E+01  3.60000000000000E+00  1.22852504072369E+02 -1.76400000000000E+02  0.00000000000000E+00  1.07553482503425E-02 
 9.00000000000000E+01  3.96000000000000E+00  1.21928397983274E+02 -1.76040000000000E+02  0.00000000000000E+00  1.23426299848423E-02 
 9.00000000000000E+01  4.32000000000000E+00  1.20917302538482E+02 -1.75680000000000E+02  0.00000000000000E+00  1.38104619742201E-02 
 9.00000000000000E+01  4.68000000000000E+00  1.19819577879995E+02 -1.75320000000000E+02  0.00000000000000E+00  1.51162739563802E-02 
 9.00000000000000E+01  5.04000000000000E+00  1.18635650441665E+02 -1.74960000000000E+02  0.00000000000000E+00  1.62329928930111E-02 
 9.00000000000000E+01  5.40000000000000E+00  1.17366021345169E+02 -1.74600000000000E+02  0.00000000000000E+00  1.71524905060943E-02 
 9.00000000000000E+01  5.76000000000000E+00  1.16011275318158E+02 -1.74240000000000E+02  0.00000000000000E+00  1.78880275588684E-02 
 9.00000000000000E+01  6.12000000000000E+00  1.14572090094738E+02 -1.73880000000000E+02  0.00000000000000E+00  1.84754989162303E-02 
 9.00000000000000E+01  6.48000000000000E+00  1.13049246253601E+02 -1.73520000000000E+02  0.00000000000000E+00  1.89733486363945E-02 
 9.00000000000000E+01  6.84000000000000E+00  1.11443637444025E+02 -1.73160000000000E+02  0.00000000000000E+00  1.94610975335889E-02 
 9.00000000000000E+01  7.20000000000000E+00  1.09756280944539E+02 -1.72800000000000E+02  0.00000000000000E+00  2.00365028823261E-02 
