 2.3951E-003	-8.0010E-004
 3.5606E-003	-1.1545E-003
 4.8299E-003	-1.5254E-003
 5.9589E-003	-1.8290E-003
 7.0201E-003	-2.0906E-003
 8.0011E-003	-2.3065E-003
 8.9037E-003	-2.4774E-003
 9.7242E-003	-2.6023E-003
 1.0459E-002	-2.6800E-003
 1.1105E-002	-2.7088E-003
 1.1658E-002	-2.6874E-003
 1.2116E-002	-2.6098E-003
 1.2474E-002	-2.4840E-003
 1.2732E-002	-2.2439E-003
 1.2888E-002	-2.1127E-003
 1.2940E-002	-9.1659E-004
 1.2888E-002	-2.1127E-003
 1.2732E-002	-2.2439E-003
 1.2474E-002	-2.4840E-003
 1.2116E-002	-2.6098E-003
 1.1658E-002	-2.6874E-003
 1.1105E-002	-2.7088E-003
 1.0459E-002	-2.6800E-003
 9.7242E-003	-2.6023E-003
 8.9037E-003	-2.4774E-003
 8.0011E-003	-2.3065E-003
 7.0201E-003	-2.0906E-003
 5.9589E-003	-1.8290E-003
 4.8299E-003	-1.5254E-003
 3.5606E-003	-1.1545E-003
 2.3951E-003	-8.0010E-004
