 0.0000E+000	 1.3152E-014 0.0000E+000	 1.0000E+000
 6.2895E-003	 9.0258E-004 6.2895E-003	 9.9983E-001
 1.2579E-002	 1.7547E-003 1.2579E-002	 9.9930E-001
 1.8868E-002	 2.5504E-003 1.8868E-002	 9.9843E-001
 2.5158E-002	 3.2876E-003 2.5158E-002	 9.9721E-001
 3.1447E-002	 3.9686E-003 3.1447E-002	 9.9564E-001
 3.7737E-002	 4.6009E-003 3.7737E-002	 9.9372E-001
 4.4026E-002	 5.1975E-003 4.4026E-002	 9.9145E-001
 5.0316E-002	 5.7772E-003 5.0316E-002	 9.8882E-001
 5.6605E-002	 6.3640E-003 5.6605E-002	 9.8583E-001
 6.2895E-002	 6.9854E-003 6.2895E-002	 9.8248E-001
 6.9184E-002	 7.6700E-003 6.9184E-002	 9.7877E-001
 7.5474E-002	 8.4444E-003 7.5474E-002	 9.7470E-001
 8.1763E-002	 9.3300E-003 8.1763E-002	 9.7025E-001
 8.8053E-002	 1.0341E-002 8.8053E-002	 9.6544E-001
 9.4342E-002	 1.1484E-002 9.4342E-002	 9.6025E-001
 1.0063E-001	 1.2757E-002 1.0063E-001	 9.5468E-001
 1.0692E-001	 1.4151E-002 1.0692E-001	 9.4872E-001
 1.1321E-001	 1.5653E-002 1.1321E-001	 9.4238E-001
 1.1950E-001	 1.7246E-002 1.1950E-001	 9.3565E-001
 1.2579E-001	 1.8907E-002 1.2579E-001	 9.2853E-001
 1.3208E-001	 2.0614E-002 1.3208E-001	 9.2100E-001
 1.3837E-001	 2.2342E-002 1.3837E-001	 9.1307E-001
 1.4466E-001	 2.4067E-002 1.4466E-001	 9.0473E-001
 1.5095E-001	 2.5762E-002 1.5095E-001	 8.9598E-001
 1.5724E-001	 2.7402E-002 1.5724E-001	 8.8682E-001
 1.6353E-001	 2.8964E-002 1.6353E-001	 8.7723E-001
 1.6982E-001	 3.0422E-002 1.6982E-001	 8.6722E-001
 1.7611E-001	 3.1755E-002 1.7611E-001	 8.5678E-001
 1.8239E-001	 3.2943E-002 1.8239E-001	 8.4591E-001
 1.8868E-001	 3.3968E-002 1.8868E-001	 8.3461E-001
 1.9497E-001	 3.4817E-002 1.9497E-001	 8.2286E-001
 2.0126E-001	 3.5479E-002 2.0126E-001	 8.1068E-001
 2.0755E-001	 3.5949E-002 2.0755E-001	 7.9805E-001
 2.1384E-001	 3.6227E-002 2.1384E-001	 7.8497E-001
 2.2013E-001	 3.6319E-002 2.2013E-001	 7.7145E-001
 2.2642E-001	 3.6238E-002 2.2642E-001	 7.5748E-001
 2.3271E-001	 3.6008E-002 2.3271E-001	 7.4306E-001
 2.3900E-001	 3.5659E-002 2.3900E-001	 7.2820E-001
 2.4529E-001	 3.5236E-002 2.4529E-001	 7.1288E-001
 2.5158E-001	 3.4792E-002 2.5158E-001	 6.9712E-001
 2.5787E-001	 3.4394E-002 2.5787E-001	 6.8092E-001
 2.6416E-001	 3.4118E-002 2.6416E-001	 6.6427E-001
 2.7045E-001	 3.4046E-002 2.7045E-001	 6.4719E-001
 2.7674E-001	 3.4258E-002 2.7674E-001	 6.2968E-001
 2.8303E-001	 3.4828E-002 2.8303E-001	 6.1174E-001
 2.8932E-001	 3.5809E-002 2.8932E-001	 5.9337E-001
 2.9561E-001	 3.7226E-002 2.9561E-001	 5.7460E-001
 3.0189E-001	 3.9080E-002 3.0189E-001	 5.5542E-001
 3.0818E-001	 4.1344E-002 3.0818E-001	 5.3585E-001
 3.1447E-001	 4.3970E-002 3.1447E-001	 5.1590E-001
 3.2076E-001	 4.6898E-002 3.2076E-001	 4.9558E-001
 3.2705E-001	 5.0060E-002 3.2705E-001	 4.7490E-001
 3.3334E-001	 5.3387E-002 3.3334E-001	 4.5388E-001
 3.3963E-001	 5.6811E-002 3.3963E-001	 4.3254E-001
 3.4592E-001	 6.0265E-002 3.4592E-001	 4.1090E-001
 3.5221E-001	 6.3686E-002 3.5221E-001	 3.8897E-001
 3.5850E-001	 6.7015E-002 3.5850E-001	 3.6678E-001
 3.6479E-001	 7.0199E-002 3.6479E-001	 3.4436E-001
 3.7108E-001	 7.3185E-002 3.7108E-001	 3.2173E-001
 3.7737E-001	 7.5927E-002 3.7737E-001	 2.9891E-001
 3.8366E-001	 7.8384E-002 3.8366E-001	 2.7595E-001
 3.8995E-001	 8.0518E-002 3.8995E-001	 2.5288E-001
 3.9624E-001	 8.2297E-002 3.9624E-001	 2.2975E-001
 4.0253E-001	 8.3695E-002 4.0253E-001	 2.0660E-001
 4.0882E-001	 8.4691E-002 4.0882E-001	 1.8350E-001
 4.1511E-001	 8.5270E-002 4.1511E-001	 1.6053E-001
 4.2139E-001	 8.5425E-002 4.2139E-001	 1.3780E-001
 4.2768E-001	 8.5156E-002 4.2768E-001	 1.1551E-001
 4.3397E-001	 8.4473E-002 4.3397E-001	 9.3966E-002
 4.4026E-001	 8.3394E-002 4.4026E-001	 7.3780E-002
 4.4655E-001	 8.1948E-002 4.4655E-001	 5.6329E-002
 4.5284E-001	 8.0180E-002 4.5284E-001	 4.4705E-002
 4.5913E-001	 7.8145E-002 4.5913E-001	 4.3517E-002
 4.6542E-001	 7.5917E-002 4.6542E-001	 5.3146E-002
 4.7171E-001	 7.3590E-002 4.7171E-001	 6.8918E-002
 4.7800E-001	 7.1275E-002 4.7800E-001	 8.7297E-002
 4.8429E-001	 6.9108E-002 4.8429E-001	 1.0669E-001
 4.9058E-001	 6.7242E-002 4.9058E-001	 1.2638E-001
 4.9687E-001	 6.5842E-002 4.9687E-001	 1.4601E-001
 5.0316E-001	 6.5074E-002 5.0316E-001	 1.6539E-001
 5.0945E-001	 6.5085E-002 5.0945E-001	 1.8436E-001
 5.1574E-001	 6.5983E-002 5.1574E-001	 2.0283E-001
 5.2203E-001	 6.7819E-002 5.2203E-001	 2.2073E-001
 5.2832E-001	 7.0581E-002 5.2832E-001	 2.3798E-001
 5.3461E-001	 7.4204E-002 5.3461E-001	 2.5452E-001
 5.4089E-001	 7.8578E-002 5.4089E-001	 2.7030E-001
 5.4718E-001	 8.3574E-002 5.4718E-001	 2.8528E-001
 5.5347E-001	 8.9052E-002 5.5347E-001	 2.9940E-001
 5.5976E-001	 9.4874E-002 5.5976E-001	 3.1261E-001
 5.6605E-001	 1.0091E-001 5.6605E-001	 3.2489E-001
 5.7234E-001	 1.0705E-001 5.7234E-001	 3.3619E-001
 5.7863E-001	 1.1317E-001 5.7863E-001	 3.4647E-001
 5.8492E-001	 1.1918E-001 5.8492E-001	 3.5570E-001
 5.9121E-001	 1.2498E-001 5.9121E-001	 3.6385E-001
 5.9750E-001	 1.3051E-001 5.9750E-001	 3.7090E-001
 6.0379E-001	 1.3568E-001 6.0379E-001	 3.7682E-001
 6.1008E-001	 1.4043E-001 6.1008E-001	 3.8159E-001
 6.1637E-001	 1.4470E-001 6.1637E-001	 3.8519E-001
 6.2266E-001	 1.4845E-001 6.2266E-001	 3.8762E-001
 6.2895E-001	 1.5161E-001 6.2895E-001	 3.8887E-001
 6.3524E-001	 1.5416E-001 6.3524E-001	 3.8892E-001
 6.4153E-001	 1.5605E-001 6.4153E-001	 3.8779E-001
 6.4782E-001	 1.5728E-001 6.4782E-001	 3.8548E-001
 6.5411E-001	 1.5780E-001 6.5411E-001	 3.8200E-001
 6.6039E-001	 1.5762E-001 6.6039E-001	 3.7736E-001
 6.6668E-001	 1.5673E-001 6.6668E-001	 3.7160E-001
 6.7297E-001	 1.5513E-001 6.7297E-001	 3.6474E-001
 6.7926E-001	 1.5284E-001 6.7926E-001	 3.5683E-001
 6.8555E-001	 1.4986E-001 6.8555E-001	 3.4789E-001
 6.9184E-001	 1.4625E-001 6.9184E-001	 3.3799E-001
 6.9813E-001	 1.4203E-001 6.9813E-001	 3.2720E-001
 7.0442E-001	 1.3727E-001 7.0442E-001	 3.1557E-001
 7.1071E-001	 1.3203E-001 7.1071E-001	 3.0320E-001
 7.1700E-001	 1.2642E-001 7.1700E-001	 2.9018E-001
 7.2329E-001	 1.2054E-001 7.2329E-001	 2.7662E-001
 7.2958E-001	 1.1454E-001 7.2958E-001	 2.6266E-001
 7.3587E-001	 1.0860E-001 7.3587E-001	 2.4844E-001
 7.4216E-001	 1.0295E-001 7.4216E-001	 2.3416E-001
 7.4845E-001	 9.7848E-002 7.4845E-001	 2.2001E-001
 7.5474E-001	 9.3605E-002 7.5474E-001	 2.0627E-001
 7.6103E-001	 9.0553E-002 7.6103E-001	 1.9321E-001
 7.6732E-001	 8.9010E-002 7.6732E-001	 1.8120E-001
 7.7361E-001	 8.9224E-002 7.7361E-001	 1.7062E-001
 7.7989E-001	 9.1323E-002 7.7989E-001	 1.6190E-001
 7.8618E-001	 9.5284E-002 7.8618E-001	 1.5546E-001
 7.9247E-001	 1.0096E-001 7.9247E-001	 1.5164E-001
 7.9876E-001	 1.0811E-001 7.9876E-001	 1.5065E-001
 8.0505E-001	 1.1647E-001 8.0505E-001	 1.5248E-001
 8.1134E-001	 1.2577E-001 8.1134E-001	 1.5695E-001
 8.1763E-001	 1.3577E-001 8.1763E-001	 1.6369E-001
 8.2392E-001	 1.4626E-001 8.2392E-001	 1.7226E-001
 8.3021E-001	 1.5705E-001 8.3021E-001	 1.8221E-001
 8.3650E-001	 1.6800E-001 8.3650E-001	 1.9310E-001
 8.4279E-001	 1.7896E-001 8.4279E-001	 2.0454E-001
 8.4908E-001	 1.8982E-001 8.4908E-001	 2.1620E-001
 8.5537E-001	 2.0048E-001 8.5537E-001	 2.2780E-001
 8.6166E-001	 2.1084E-001 8.6166E-001	 2.3911E-001
 8.6795E-001	 2.2083E-001 8.6795E-001	 2.4992E-001
 8.7424E-001	 2.3037E-001 8.7424E-001	 2.6009E-001
