 1.00000000000000E-01  1.22903995425114E-06  8.23924319262464E-04
 1.04750000000000E-01  1.49376277204854E-06  8.66354554330876E-04
 1.09500000000000E-01  1.80148369944723E-06  9.09276200370901E-04
 1.14250000000000E-01  2.15734011272264E-06  9.52719516425524E-04
 1.19000000000000E-01  2.56694168089436E-06  9.96715991205160E-04
 1.23750000000000E-01  3.03641311627129E-06  1.04129843745150E-03
 1.28500000000000E-01  3.57244159335573E-06  1.08650109297611E-03
 1.33250000000000E-01  4.18968716442224E-06  1.14753901364754E-03
 1.38000000000000E-01  4.88426841067248E-06  1.19456864849014E-03
 1.42750000000000E-01  5.67017786375337E-06  1.24232549525239E-03
 1.47500000000000E-01  6.55710547616512E-06  1.29085076745457E-03
 1.52250000000000E-01  7.55566140294018E-06  1.34018778350056E-03
 1.57000000000000E-01  8.67747028193765E-06  1.39038212961520E-03
 1.61750000000000E-01  9.93527662556269E-06  1.44148183620333E-03
 1.66500000000000E-01  1.13430627760319E-05  1.49353756896364E-03
 1.71250000000000E-01  1.29161810898353E-05  1.54660283623186E-03
 1.76000000000000E-01  1.46715022652048E-05  1.60073421418552E-03
 1.80750000000000E-01  1.66275820153505E-05  1.65599159171785E-03
 1.85500000000000E-01  1.88048486273777E-05  1.71243843698382E-03
 1.90250000000000E-01  2.12258143409621E-05  1.77014208783801E-03
 1.95000000000000E-01  2.40243105147844E-05  1.84473580348385E-03
 1.99750000000000E-01  2.70295922472711E-05  1.90552558382229E-03
 2.04500000000000E-01  3.03644898510204E-05  1.96780205384169E-03
 2.09250000000000E-01  3.40631054259771E-05  2.03165212734920E-03
 2.14000000000000E-01  3.81632640303927E-05  2.09716858367853E-03
 2.18750000000000E-01  4.27069760847351E-05  2.16445057445281E-03
 2.23500000000000E-01  4.77409653330268E-05  2.23360417947508E-03
 2.28250000000000E-01  5.33172728477195E-05  2.30474301688934E-03
 2.33000000000000E-01  5.94939494377917E-05  2.37798891326033E-03
 2.37750000000000E-01  6.63358510630056E-05  2.45347263974861E-03
 2.42500000000000E-01  7.39155545492097E-05  2.53133472110332E-03
 2.47250000000000E-01  8.23144141383858E-05  2.61172632473284E-03
 2.52000000000000E-01  9.16237833134854E-05  2.69481023762746E-03
 2.56750000000000E-01  1.01946431061418E-04  2.78076193934841E-03
 2.61500000000000E-01  1.14123177542616E-04  2.88788210613996E-03
 2.66250000000000E-01  1.26945385656850E-04  2.98058055305380E-03
 2.71000000000000E-01  1.41192697098399E-04  3.07677880206233E-03
 2.75750000000000E-01  1.57035791268718E-04  3.17671824074744E-03
 2.80500000000000E-01  1.74668762833508E-04  3.28066029895663E-03
 2.85250000000000E-01  1.94312840402183E-04  3.38888828830241E-03
 2.90000000000000E-01  2.16220778558542E-04  3.50170937992601E-03
 2.94750000000000E-01  2.40682059525145E-04  3.61945671218994E-03
 2.99500000000000E-01  2.68029070866635E-04  3.74249160956449E-03
 3.04250000000000E-01  2.98644462806813E-04  3.87120587862940E-03
 3.09000000000000E-01  3.32969934606857E-04  4.00602412474461E-03
 3.13750000000000E-01  3.71516756021726E-04  4.14740600059113E-03
 3.18500000000000E-01  4.14878399481938E-04  4.29584825127277E-03
 3.23250000000000E-01  4.67283952592562E-04  4.47429232301186E-03
 3.28000000000000E-01  5.23036463738930E-04  4.63924762034372E-03
 3.32750000000000E-01  5.86147235815836E-04  4.81303906769233E-03
 3.37500000000000E-01  6.57745428556471E-04  4.99632200186627E-03
 3.42250000000000E-01  7.39161730639226E-04  5.18978384935364E-03
 3.47000000000000E-01  8.31968733436990E-04  5.39413495101028E-03
 3.51750000000000E-01  9.38029824847453E-04  5.61009329563329E-03
 3.56500000000000E-01  1.05955824533479E-03  5.83836039784527E-03
 3.61250000000000E-01  1.19918806968366E-03  6.07958438676324E-03
 3.66000000000000E-01  1.36005882695577E-03  6.33430472933475E-03
 3.70750000000000E-01  1.54591506373841E-03  6.60287072542523E-03
 3.75500000000000E-01  1.76122106874269E-03  6.88532277473854E-03
 3.80250000000000E-01  2.01128865710065E-03  7.18122121242972E-03
 3.85000000000000E-01  2.30241143968593E-03  7.48940209195932E-03
 3.89750000000000E-01  2.66876323059011E-03  7.83873296651308E-03
 3.94500000000000E-01  3.07047194917805E-03  8.16312481482602E-03
 3.99250000000000E-01  3.53994448768792E-03  8.48708046704586E-03
 4.04000000000000E-01  4.08807070389597E-03  8.80121120977707E-03
 4.08750000000000E-01  4.72619209999609E-03  9.09185766152949E-03
 4.13500000000000E-01  5.46500790306976E-03  9.33979756783394E-03
 4.18250000000000E-01  6.31263555160056E-03  9.51895338403735E-03
 4.23000000000000E-01  7.27151699292245E-03  9.59551763514787E-03
 4.27750000000000E-01  8.33400225082987E-03  9.52827141841817E-03
 4.32500000000000E-01  9.47691428920772E-03  9.27126410268907E-03
 4.37250000000000E-01  1.06563646954680E-02  8.78015342658755E-03
 4.42000000000000E-01  1.18054352473002E-02  8.02280304161135E-03
 4.46750000000000E-01  1.28382663946824E-02  6.99263061473673E-03
 4.51500000000000E-01  1.36630435964336E-02  5.72002181854720E-03
 4.56250000000000E-01  1.42026486732312E-02  4.16474298002209E-03
 4.61000000000000E-01  1.43847702533722E-02  2.64789258155918E-03
 4.65750000000000E-01  1.42429292721147E-02  1.17355187208708E-03
 4.70500000000000E-01  1.38234139548327E-02 -1.68957134134767E-04
 4.75250000000000E-01  1.31966238327987E-02 -1.32189313693770E-03
 4.80000000000000E-01  1.24384641715774E-02 -2.26145199161262E-03
 4.84750000000000E-01  1.16163906145487E-02 -2.99114482200304E-03
 4.89500000000000E-01  1.07825585599784E-02 -3.53171240083355E-03
 4.94250000000000E-01  9.97282577996638E-03 -3.91186825192543E-03
 4.99000000000000E-01  9.20906106934884E-03 -4.16175181865249E-03
 5.03750000000000E-01  8.50259201026053E-03 -4.30917695495320E-03
 5.08500000000000E-01  7.85752086527324E-03 -4.37797567914067E-03
 5.13250000000000E-01  7.27338677649464E-03 -4.38763466413371E-03
 5.18000000000000E-01  6.69960925940220E-03 -4.31943599456459E-03
 5.22750000000000E-01  6.23098033408276E-03 -4.25155940226246E-03
 5.27500000000000E-01  5.81037615943633E-03 -4.16176904263804E-03
 5.32250000000000E-01  5.43280324330147E-03 -4.05686295636304E-03
 5.37000000000000E-01  5.09352267973022E-03 -3.94194093190282E-03
 5.41750000000000E-01  4.78817892794624E-03 -3.82080218438372E-03
 5.46500000000000E-01  4.51284848190507E-03 -3.69625778960873E-03
