( 7.6992E-01, -6.3581E+02) ( 7.6696E-01,  2.2261E+02) ( 7.5813E-01,  8.4540E+01) ( 7.4357E-01,  1.6394E+01) ( 7.2353E-01,  6.7221E+00) ( 6.9832E-01,  3.5749E+00) ( 6.6837E-01,  2.1706E+00) ( 5.2203E-01,  1.2283E+00) ( 3.9346E-01,  7.8060E-01) ( 3.8451E-01,  6.5824E-01) ( 3.7254E-01,  5.3449E-01) ( 3.5776E-01,  4.2189E-01) ( 3.4041E-01,  3.2406E-01) ( 3.2079E-01,  2.4080E-01) ( 2.9922E-01,  1.7067E-01) ( 2.7604E-01,  1.1199E-01) ( 2.5161E-01,  6.3199E-02) ( 2.2633E-01,  2.3001E-02) ( 2.0057E-01, -9.6876E-03) ( 1.7471E-01, -3.5765E-02) ( 1.4912E-01, -5.5987E-02) ( 6.7814E-02, -7.5352E-02) (-4.0774E-04, -8.1473E-02) (-5.7352E-03, -7.7717E-02) (-1.0746E-02, -7.3797E-02) (-6.3506E-02, -6.7417E-02) (-1.0538E-01, -6.1804E-02) (-9.4221E-02, -5.8817E-02) (-8.3739E-02, -5.5870E-02) (-7.4102E-02, -5.3125E-02) (-6.5443E-02, -5.0693E-02) (-5.7860E-02, -4.8624E-02) (-5.1416E-02, -4.6920E-02) (-4.6139E-02, -4.5536E-02) (-4.2021E-02, -4.4394E-02) (-3.9023E-02, -4.3392E-02) (-3.7074E-02, -4.2413E-02) (-3.6076E-02, -4.1335E-02) (-3.5907E-02, -4.0044E-02) (-4.8033E-02, -4.7469E-02) (-6.3133E-02, -4.5614E-02) (-6.5744E-02, -3.0574E-02) (-6.5652E-02, -1.6381E-02) (-6.3206E-02, -3.3788E-03) (-5.8774E-02,  8.1647E-03) (-5.2739E-02,  1.8050E-02) (-4.5484E-02,  2.6149E-02) 
( 7.6696E-01,  2.2261E+02) ( 7.6992E-01, -6.3581E+02) ( 7.6696E-01,  2.2261E+02) ( 7.5813E-01,  8.4540E+01) ( 7.4357E-01,  1.6394E+01) ( 7.2353E-01,  6.7221E+00) ( 6.9832E-01,  3.5749E+00) ( 5.4934E-01,  1.8916E+00) ( 4.1546E-01,  1.1645E+00) ( 4.0683E-01,  9.5590E-01) ( 3.9509E-01,  7.5757E-01) ( 3.8043E-01,  5.8810E-01) ( 3.6309E-01,  4.4872E-01) ( 3.4335E-01,  3.3537E-01) ( 3.2153E-01,  2.4325E-01) ( 2.9798E-01,  1.6822E-01) ( 2.7306E-01,  1.0703E-01) ( 2.4715E-01,  5.7224E-02) ( 2.2065E-01,  1.6938E-02) ( 1.9393E-01, -1.5255E-02) ( 1.6738E-01, -4.0473E-02) ( 8.1764E-02, -7.2031E-02) ( 9.6077E-03, -8.7654E-02) ( 3.7852E-03, -8.4184E-02) (-1.7642E-03, -8.0552E-02) (-5.8874E-02, -8.1552E-02) (-1.0421E-01, -8.2180E-02) (-9.2280E-02, -7.7712E-02) (-8.1044E-02, -7.3262E-02) (-7.0687E-02, -6.9063E-02) (-6.1358E-02, -6.5277E-02) (-5.3172E-02, -6.2000E-02) (-4.6209E-02, -5.9258E-02) (-4.0511E-02, -5.7023E-02) (-3.6082E-02, -5.5217E-02) (-3.2894E-02, -5.3728E-02) (-3.0881E-02, -5.2422E-02) (-2.9950E-02, -5.1156E-02) (-2.9981E-02, -4.9787E-02) (-4.1276E-02, -6.0100E-02) (-5.7503E-02, -6.1088E-02) (-6.3133E-02, -4.5614E-02) (-6.5744E-02, -3.0574E-02) (-6.5652E-02, -1.6381E-02) (-6.3206E-02, -3.3788E-03) (-5.8774E-02,  8.1647E-03) (-5.2739E-02,  1.8050E-02) 
( 7.5813E-01,  8.4540E+01) ( 7.6696E-01,  2.2261E+02) ( 7.6992E-01, -6.3581E+02) ( 7.6696E-01,  2.2261E+02) ( 7.5813E-01,  8.4540E+01) ( 7.4357E-01,  1.6394E+01) ( 7.2353E-01,  6.7221E+00) ( 5.7310E-01,  3.1469E+00) ( 4.3483E-01,  1.8284E+00) ( 4.2660E-01,  1.4317E+00) ( 4.1518E-01,  1.0870E+00) ( 4.0073E-01,  8.1707E-01) ( 3.8350E-01,  6.1083E-01) ( 3.6376E-01,  4.5278E-01) ( 3.4183E-01,  3.3018E-01) ( 3.1804E-01,  2.3378E-01) ( 2.9276E-01,  1.5717E-01) ( 2.6639E-01,  9.5903E-02) ( 2.3929E-01,  4.6865E-02) ( 2.1188E-01,  7.8260E-03) ( 1.8452E-01, -2.2860E-02) ( 9.5545E-02, -6.7566E-02) ( 2.0372E-02, -9.3381E-02) ( 1.4141E-02, -9.0160E-02) ( 8.1321E-03, -8.6804E-02) (-5.2589E-02, -9.6033E-02) (-1.0071E-01, -1.0367E-01) (-8.8024E-02, -9.7554E-02) (-7.6049E-02, -9.1404E-02) (-6.4981E-02, -8.5532E-02) (-5.4990E-02, -8.0175E-02) (-4.6208E-02, -7.5482E-02) (-3.8730E-02, -7.1522E-02) (-3.2613E-02, -6.8284E-02) (-2.7876E-02, -6.5700E-02) (-2.4500E-02, -6.3648E-02) (-2.2428E-02, -6.1977E-02) (-2.1573E-02, -6.0518E-02) (-2.1816E-02, -5.9098E-02) (-3.1680E-02, -7.2326E-02) (-4.8578E-02, -7.6511E-02) (-5.7503E-02, -6.1088E-02) (-6.3133E-02, -4.5614E-02) (-6.5744E-02, -3.0574E-02) (-6.5652E-02, -1.6381E-02) (-6.3206E-02, -3.3788E-03) (-5.8774E-02,  8.1647E-03) 
( 7.4357E-01,  1.6394E+01) ( 7.5813E-01,  8.4540E+01) ( 7.6696E-01,  2.2261E+02) ( 7.6992E-01, -6.3581E+02) ( 7.6696E-01,  2.2261E+02) ( 7.5813E-01,  8.4540E+01) ( 7.4357E-01,  1.6394E+01) ( 5.9291E-01,  6.0156E+00) ( 4.5125E-01,  3.1422E+00) ( 4.4351E-01,  2.2665E+00) ( 4.3248E-01,  1.6031E+00) ( 4.1834E-01,  1.1432E+00) ( 4.0132E-01,  8.2474E-01) ( 3.8170E-01,  5.9874E-01) ( 3.5977E-01,  4.3338E-01) ( 3.3588E-01,  3.0897E-01) ( 3.1039E-01,  2.1325E-01) ( 2.8368E-01,  1.3843E-01) ( 2.5615E-01,  7.9429E-02) ( 2.2819E-01,  3.2843E-02) ( 2.0019E-01, -3.7195E-03) ( 1.0890E-01, -6.2296E-02) ( 3.1717E-02, -9.8777E-02) ( 2.5176E-02, -9.5725E-02) ( 1.8800E-02, -9.2590E-02) (-4.4686E-02, -1.1079E-01) (-9.4806E-02, -1.2613E-01) (-8.1384E-02, -1.1821E-01) (-6.8681E-02, -1.1014E-01) (-5.6913E-02, -1.0235E-01) (-4.6267E-02, -9.5161E-02) (-3.6893E-02, -8.8807E-02) (-2.8902E-02, -8.3407E-02) (-2.2368E-02, -7.8984E-02) (-1.7322E-02, -7.5480E-02) (-1.3757E-02, -7.2770E-02) (-1.1628E-02, -7.0683E-02) (-1.0851E-02, -6.9022E-02) (-1.1314E-02, -6.7579E-02) (-1.9098E-02, -8.3650E-02) (-3.6135E-02, -9.1327E-02) (-4.8578E-02, -7.6511E-02) (-5.7503E-02, -6.1088E-02) (-6.3133E-02, -4.5614E-02) (-6.5744E-02, -3.0574E-02) (-6.5652E-02, -1.6381E-02) (-6.3206E-02, -3.3788E-03) 
( 7.2353E-01,  6.7221E+00) ( 7.4357E-01,  1.6394E+01) ( 7.5813E-01,  8.4540E+01) ( 7.6696E-01,  2.2261E+02) ( 7.6992E-01, -6.3581E+02) ( 7.6696E-01,  2.2261E+02) ( 7.5813E-01,  8.4540E+01) ( 6.0846E-01,  1.5069E+01) ( 4.6448E-01,  6.3083E+00) ( 4.5727E-01,  3.9176E+00) ( 4.4670E-01,  2.4651E+00) ( 4.3296E-01,  1.6212E+00) ( 4.1626E-01,  1.1088E+00) ( 3.9685E-01,  7.7857E-01) ( 3.7505E-01,  5.5358E-01) ( 3.5118E-01,  3.9295E-01) ( 3.2561E-01,  2.7399E-01) ( 2.9872E-01,  1.8350E-01) ( 2.7090E-01,  1.1347E-01) ( 2.4254E-01,  5.8791E-02) ( 2.1405E-01,  1.6100E-02) ( 1.2157E-01, -5.6723E-02) ( 4.3458E-02, -1.0406E-01) ( 3.6715E-02, -1.0104E-01) ( 3.0073E-02, -9.8022E-02) (-3.5236E-02, -1.2582E-01) (-8.6489E-02, -1.4946E-01) (-7.2340E-02, -1.3958E-01) (-5.8918E-02, -1.2936E-01) (-4.6458E-02, -1.1936E-01) (-3.5162E-02, -1.1004E-01) (-2.5198E-02, -1.0172E-01) (-1.6695E-02, -9.4611E-02) (-9.7407E-03, -8.8774E-02) (-4.3827E-03, -8.4173E-02) (-6.2584E-04, -8.0682E-02) ( 1.5653E-03, -7.8111E-02) ( 2.2646E-03, -7.6230E-02) ( 1.5811E-03, -7.4791E-02) (-3.4370E-03, -9.3517E-02) (-2.0004E-02, -1.0491E-01) (-3.6135E-02, -9.1327E-02) (-4.8578E-02, -7.6511E-02) (-5.7503E-02, -6.1088E-02) (-6.3133E-02, -4.5614E-02) (-6.5744E-02, -3.0574E-02) (-6.5652E-02, -1.6381E-02) 
( 6.9832E-01,  3.5749E+00) ( 7.2353E-01,  6.7221E+00) ( 7.4357E-01,  1.6394E+01) ( 7.5813E-01,  8.4540E+01) ( 7.6696E-01,  2.2261E+02) ( 7.6992E-01, -6.3581E+02) ( 7.6696E-01,  2.2261E+02) ( 6.1950E-01,  8.1412E+01) ( 4.7428E-01,  1.6869E+01) ( 4.6766E-01,  7.6951E+00) ( 4.5763E-01,  3.9809E+00) ( 4.4435E-01,  2.3248E+00) ( 4.2805E-01,  1.4779E+00) ( 4.0896E-01,  9.9230E-01) ( 3.8739E-01,  6.8747E-01) ( 3.6367E-01,  4.8217E-01) ( 3.3815E-01,  3.3636E-01) ( 3.1121E-01,  2.2869E-01) ( 2.8324E-01,  1.4705E-01) ( 2.5465E-01,  8.4145E-02) ( 2.2583E-01,  3.5383E-02) ( 1.3330E-01, -5.1548E-02) ( 5.5395E-02, -1.0954E-01) ( 4.8565E-02, -1.0636E-01) ( 4.1770E-02, -1.0330E-01) (-2.4345E-02, -1.4113E-01) (-7.5792E-02, -1.7361E-01) (-6.0924E-02, -1.6162E-01) (-4.6791E-02, -1.4901E-01) (-3.3643E-02, -1.3648E-01) (-2.1699E-02, -1.2466E-01) (-1.1145E-02, -1.1401E-01) (-2.1260E-03, -1.0485E-01) ( 5.2531E-03, -9.7305E-02) ( 1.0931E-02, -9.1378E-02) ( 1.4888E-02, -8.6945E-02) ( 1.7150E-02, -8.3796E-02) ( 1.7780E-02, -8.1663E-02) ( 1.6882E-02, -8.0252E-02) ( 1.5338E-02, -1.0132E-01) (-8.5850E-05, -1.1658E-01) (-2.0004E-02, -1.0491E-01) (-3.6135E-02, -9.1327E-02) (-4.8578E-02, -7.6511E-02) (-5.7503E-02, -6.1088E-02) (-6.3133E-02, -4.5614E-02) (-6.5744E-02, -3.0574E-02) 
( 6.6837E-01,  2.1706E+00) ( 6.9832E-01,  3.5749E+00) ( 7.2353E-01,  6.7221E+00) ( 7.4357E-01,  1.6394E+01) ( 7.5813E-01,  8.4540E+01) ( 7.6696E-01,  2.2261E+02) ( 7.6992E-01, -6.3581E+02) ( 6.2584E-01,  2.1319E+02) ( 4.8051E-01,  9.2008E+01) ( 4.7451E-01,  1.7354E+01) ( 4.6506E-01,  6.5498E+00) ( 4.5233E-01,  3.2759E+00) ( 4.3650E-01,  1.9112E+00) ( 4.1782E-01,  1.2207E+00) ( 3.9659E-01,  8.2154E-01) ( 3.7312E-01,  5.6757E-01) ( 3.4777E-01,  3.9421E-01) ( 3.2091E-01,  2.6972E-01) ( 2.9294E-01,  1.7712E-01) ( 2.6426E-01,  1.0666E-01) ( 2.3526E-01,  5.2444E-02) ( 1.4387E-01, -4.7709E-02) ( 6.7319E-02, -1.1565E-01) ( 6.0522E-02, -1.1205E-01) ( 5.3691E-02, -1.0873E-01) (-1.2157E-02, -1.5684E-01) (-6.2805E-02, -1.9855E-01) (-4.7220E-02, -1.8439E-01) (-3.2378E-02, -1.6913E-01) (-1.8543E-02, -1.5371E-01) (-5.9515E-03, -1.3896E-01) ( 5.1960E-03, -1.2553E-01) ( 1.4737E-02, -1.1387E-01) ( 2.2550E-02, -1.0424E-01) ( 2.8558E-02, -9.6688E-02) ( 3.2730E-02, -9.1097E-02) ( 3.5076E-02, -8.7239E-02) ( 3.5652E-02, -8.4803E-02) ( 3.4552E-02, -8.3436E-02) ( 3.7203E-02, -1.0640E-01) ( 2.3651E-02, -1.2556E-01) (-8.5850E-05, -1.1658E-01) (-2.0004E-02, -1.0491E-01) (-3.6135E-02, -9.1327E-02) (-4.8578E-02, -7.6511E-02) (-5.7503E-02, -6.1088E-02) (-6.3133E-02, -4.5614E-02) 
( 5.2203E-01,  1.2283E+00) ( 5.4934E-01,  1.8916E+00) ( 5.7310E-01,  3.1469E+00) ( 5.9291E-01,  6.0156E+00) ( 6.0846E-01,  1.5069E+01) ( 6.1950E-01,  8.1412E+01) ( 6.2584E-01,  2.1319E+02) ( 6.1992E-01, -6.1431E+02) ( 6.1043E-01,  2.1584E+02) ( 6.0447E-01,  8.3013E+01) ( 5.9411E-01,  1.5466E+01) ( 5.7952E-01,  6.1736E+00) ( 5.6091E-01,  3.2288E+00) ( 5.3859E-01,  1.9423E+00) ( 5.1289E-01,  1.2639E+00) ( 4.8421E-01,  8.5823E-01) ( 4.5299E-01,  5.9294E-01) ( 4.1969E-01,  4.0805E-01) ( 3.8479E-01,  2.7330E-01) ( 3.4880E-01,  1.7212E-01) ( 3.1222E-01,  9.4808E-02) ( 1.9544E-01,  1.0891E-04) ( 1.0022E-01, -5.2088E-02) ( 9.5604E-02, -5.2066E-02) ( 9.0720E-02, -5.2551E-02) ( 2.7281E-02, -7.0194E-02) (-2.0262E-02, -7.5783E-02) (-1.6740E-03, -5.8069E-02) ( 1.6386E-02, -4.0782E-02) ( 3.3587E-02, -2.5031E-02) ( 4.9619E-02, -1.1721E-02) ( 6.4200E-02, -1.4778E-03) ( 7.7084E-02,  5.3669E-03) ( 8.8063E-02,  8.7620E-03) ( 9.6976E-02,  8.8894E-03) ( 1.0371E-01,  6.1050E-03) ( 1.0819E-01,  8.7955E-04) ( 1.1041E-01, -6.2543E-03) ( 1.1039E-01, -1.4745E-02) ( 8.1296E-02, -6.4497E-02) ( 3.7203E-02, -1.0640E-01) ( 1.5338E-02, -1.0132E-01) (-3.4370E-03, -9.3517E-02) (-1.9098E-02, -8.3650E-02) (-3.1680E-02, -7.2326E-02) (-4.1276E-02, -6.0100E-02) (-4.8033E-02, -4.7469E-02) 
( 3.9346E-01,  7.8060E-01) ( 4.1546E-01,  1.1645E+00) ( 4.3483E-01,  1.8284E+00) ( 4.5125E-01,  3.1422E+00) ( 4.6448E-01,  6.3083E+00) ( 4.7428E-01,  1.6869E+01) ( 4.8051E-01,  9.2008E+01) ( 6.1043E-01,  2.1584E+02) ( 7.3895E-01, -6.3968E+02) ( 7.3623E-01,  2.2232E+02) ( 7.2809E-01,  8.5738E+01) ( 7.1467E-01,  1.6656E+01) ( 6.9618E-01,  6.8158E+00) ( 6.7291E-01,  3.6207E+00) ( 6.4522E-01,  2.1992E+00) ( 6.1353E-01,  1.4391E+00) ( 5.7834E-01,  9.7950E-01) ( 5.4017E-01,  6.7644E-01) ( 4.9959E-01,  4.6392E-01) ( 4.5719E-01,  3.0837E-01) ( 4.1358E-01,  1.9128E-01) ( 2.6097E-01,  8.2049E-02) ( 1.3633E-01,  3.3617E-02) ( 1.3378E-01,  2.8820E-02) ( 1.3076E-01,  2.3269E-02) ( 6.1367E-02,  3.6666E-02) ( 8.5288E-03,  7.0698E-02) ( 2.9998E-02,  9.4417E-02) ( 5.1158E-02,  1.1517E-01) ( 7.1621E-02,  1.3166E-01) ( 9.1014E-02,  1.4299E-01) ( 1.0899E-01,  1.4878E-01) ( 1.2522E-01,  1.4906E-01) ( 1.3943E-01,  1.4421E-01) ( 1.5138E-01,  1.3486E-01) ( 1.6088E-01,  1.2177E-01) ( 1.6779E-01,  1.0575E-01) ( 1.7204E-01,  8.7602E-02) ( 1.7360E-01,  6.8100E-02) ( 1.1039E-01, -1.4745E-02) ( 3.4552E-02, -8.3436E-02) ( 1.6882E-02, -8.0252E-02) ( 1.5811E-03, -7.4791E-02) (-1.1314E-02, -6.7579E-02) (-2.1816E-02, -5.9098E-02) (-2.9981E-02, -4.9787E-02) (-3.5907E-02, -4.0044E-02) 
( 3.8451E-01,  6.5824E-01) ( 4.0683E-01,  9.5590E-01) ( 4.2660E-01,  1.4317E+00) ( 4.4351E-01,  2.2665E+00) ( 4.5727E-01,  3.9176E+00) ( 4.6766E-01,  7.6951E+00) ( 4.7451E-01,  1.7354E+01) ( 6.0447E-01,  8.3013E+01) ( 7.3623E-01,  2.2232E+02) ( 7.3895E-01, -6.3968E+02) ( 7.3623E-01,  2.2232E+02) ( 7.2809E-01,  8.5738E+01) ( 7.1467E-01,  1.6656E+01) ( 6.9618E-01,  6.8158E+00) ( 6.7291E-01,  3.6207E+00) ( 6.4522E-01,  2.1992E+00) ( 6.1353E-01,  1.4391E+00) ( 5.7834E-01,  9.7950E-01) ( 5.4017E-01,  6.7644E-01) ( 4.9959E-01,  4.6392E-01) ( 4.5719E-01,  3.0837E-01) ( 2.9132E-01,  1.4725E-01) ( 1.5292E-01,  6.5761E-02) ( 1.5034E-01,  5.9427E-02) ( 1.4726E-01,  5.2094E-02) ( 6.6154E-02,  5.3632E-02) ( 1.8777E-03,  8.1968E-02) ( 2.3693E-02,  1.1238E-01) ( 4.5206E-02,  1.3860E-01) ( 6.6030E-02,  1.5900E-01) ( 8.5796E-02,  1.7267E-01) ( 1.0416E-01,  1.7935E-01) ( 1.2079E-01,  1.7934E-01) ( 1.3543E-01,  1.7334E-01) ( 1.4782E-01,  1.6231E-01) ( 1.5779E-01,  1.4724E-01) ( 1.6519E-01,  1.2916E-01) ( 1.6995E-01,  1.0900E-01) ( 1.7204E-01,  8.7602E-02) ( 1.1041E-01, -6.2543E-03) ( 3.5652E-02, -8.4803E-02) ( 1.7780E-02, -8.1663E-02) ( 2.2646E-03, -7.6230E-02) (-1.0851E-02, -6.9022E-02) (-2.1573E-02, -6.0518E-02) (-2.9950E-02, -5.1156E-02) (-3.6076E-02, -4.1335E-02) 
