(-1.8240E-03, -1.5399E-03) 
(-2.9014E-03, -2.5162E-03) 
(-3.8449E-03, -3.4224E-03) 
(-4.5737E-03, -4.1876E-03) 
(-5.0902E-03, -4.8078E-03) 
(-5.3828E-03, -5.2671E-03) 
(-5.4472E-03, -5.5545E-03) 
(-5.2824E-03, -5.6688E-03) 
(-4.9013E-03, -5.6041E-03) 
(-4.3341E-03, -5.3597E-03) 
(-3.5930E-03, -4.9402E-03) 
(-2.7047E-03, -4.3570E-03) 
(-1.7004E-03, -3.6272E-03) 
(-6.1552E-04, -2.7728E-03) 
( 5.1118E-04, -1.8196E-03) 
( 1.6394E-03, -7.9673E-04) 
( 2.7287E-03,  2.6516E-04) 
( 3.7397E-03,  1.3348E-03) 
( 4.6356E-03,  2.3820E-03) 
( 5.3835E-03,  3.3805E-03) 
( 5.9553E-03,  4.3048E-03) 
( 6.3258E-03,  5.1680E-03) 
( 6.4353E-03,  5.5135E-03) 
( 6.4743E-03,  6.7291E-03) 
( 6.4353E-03,  5.5135E-03) 
( 6.3258E-03,  5.1680E-03) 
( 5.9553E-03,  4.3048E-03) 
( 5.3835E-03,  3.3805E-03) 
( 4.6356E-03,  2.3820E-03) 
( 3.7397E-03,  1.3348E-03) 
( 2.7287E-03,  2.6516E-04) 
( 1.6394E-03, -7.9673E-04) 
( 5.1118E-04, -1.8196E-03) 
(-6.1552E-04, -2.7728E-03) 
(-1.7004E-03, -3.6272E-03) 
(-2.7047E-03, -4.3570E-03) 
(-3.5930E-03, -4.9402E-03) 
(-4.3341E-03, -5.3597E-03) 
(-4.9013E-03, -5.6041E-03) 
(-5.2824E-03, -5.6688E-03) 
(-5.4472E-03, -5.5545E-03) 
(-5.3828E-03, -5.2671E-03) 
(-5.0902E-03, -4.8078E-03) 
(-4.5737E-03, -4.1876E-03) 
(-3.8449E-03, -3.4224E-03) 
(-2.9014E-03, -2.5162E-03) 
(-1.8240E-03, -1.5399E-03) 
