 5.00000000000000E+07  2.53389634016354E-03 -1.47526019999039E+02
 5.01154104741081E+07  2.54457863947379E-03 -1.46369876349269E+02
 5.02310873397670E+07  2.55534330664335E-03 -1.45218495446512E+02
 5.03470312118637E+07  2.56619111237933E-03 -1.44071848558204E+02
 5.04632427067057E+07  2.57712285526523E-03 -1.42929907079598E+02
 5.05797224420219E+07  2.58813932750756E-03 -1.41792642532184E+02
 5.06964710369677E+07  2.59924133401128E-03 -1.40660026563322E+02
 5.08134891121273E+07  2.61042968120789E-03 -1.39532030946090E+02
 5.09307772895176E+07  2.62170519409061E-03 -1.38408627579227E+02
 5.10483361925911E+07  2.63306870006928E-03 -1.37289788485873E+02
 5.11661664462394E+07  2.64452103098800E-03 -1.36175485813880E+02
 5.12842686767965E+07  2.65606302974113E-03 -1.35065691835351E+02
 5.14026435120420E+07  2.66769554218972E-03 -1.33960378945401E+02
 5.15212915812047E+07  2.67941943683324E-03 -1.32859519662886E+02
 5.16402135149656E+07  2.69123557718993E-03 -1.31763086628989E+02
 5.17594099454617E+07  2.70314482960859E-03 -1.30671052607536E+02
 5.18788815062889E+07  2.71514808522225E-03 -1.29583390483967E+02
 5.19986288325056E+07  2.72724623433758E-03 -1.28500073265264E+02
 5.21186525606362E+07  2.73944017648899E-03 -1.27421074079772E+02
 5.22389533286742E+07  2.75173081681641E-03 -1.26346366176132E+02
 5.23595317760856E+07  2.76411908004392E-03 -1.25275922922642E+02
 5.24803885438127E+07  2.77660588137891E-03 -1.24209717808827E+02
 5.26015242742770E+07  2.78919216290006E-03 -1.23147724441823E+02
 5.27229396113829E+07  2.80187886865144E-03 -1.22089916548835E+02
 5.28446352005215E+07  2.81466694481440E-03 -1.21036267974972E+02
 5.29666116885725E+07  2.82755735305175E-03 -1.19986752683482E+02
 5.30888697239100E+07  2.84055106756010E-03 -1.18941344755174E+02
 5.32114099564042E+07  2.85364906719846E-03 -1.17900018388230E+02
 5.33342330374246E+07  2.86685234096521E-03 -1.16862747896891E+02
 5.34573396198454E+07  2.88016188204264E-03 -1.15829507712390E+02
 5.35807303580470E+07  2.89357870699059E-03 -1.14800272381490E+02
 5.37044059079206E+07  2.90710382476572E-03 -1.13775016566225E+02
 5.38283669268711E+07  2.92073826580161E-03 -1.12753715043679E+02
 5.39526140738210E+07  2.93448306926812E-03 -1.11736342705596E+02
 5.40771480092136E+07  2.94833927563382E-03 -1.10722874557272E+02
 5.42019693950167E+07  2.96230794572955E-03 -1.09713285718306E+02
 5.43270788947261E+07  2.97639014563288E-03 -1.08707551421069E+02
 5.44524771733690E+07  2.99058695360059E-03 -1.07705647010737E+02
 5.45781648975078E+07  3.00489945276939E-03 -1.06707547945154E+02
 5.47041427352432E+07  3.01932874081192E-03 -1.05713229793036E+02
 5.48304113562182E+07  3.03387592623243E-03 -1.04722668235939E+02
 5.49569714316214E+07  3.04854213057860E-03 -1.03735839064892E+02
 5.50838236341908E+07  3.06332848125319E-03 -1.02752718182577E+02
 5.52109686382169E+07  3.07823611340430E-03 -1.01773281601493E+02
 5.53384071195469E+07  3.09326618222694E-03 -1.00797505443326E+02
 5.54661397555880E+07  3.10841984866051E-03 -9.98253659394959E+01
 5.55941672253107E+07  3.12369828437226E-03 -9.88568394297784E+01
 5.57224902092531E+07  3.13910267441438E-03 -9.78919023625906E+01
 5.58511093895235E+07  3.15463421485285E-03 -9.69305312940533E+01
 5.59800254498059E+07  3.17029410623700E-03 -9.59727028876615E+01
 5.61092390753607E+07  3.18608357660791E-03 -9.50183939141377E+01
