 5.00000000000000E+07  1.88544861148522E-03  1.27697901154967E+02
 5.01154104741081E+07  1.90367026474662E-03  1.28007585373608E+02
 5.02310873397670E+07  1.92207158750454E-03  1.28318092088973E+02
 5.03470312118637E+07  1.94065439409703E-03  1.28629423995720E+02
 5.04632427067057E+07  1.95942053307774E-03  1.28941583800569E+02
 5.05797224420219E+07  1.97837186282382E-03  1.29254574222842E+02
 5.06964710369677E+07  1.99751026438781E-03  1.29568397994400E+02
 5.08134891121273E+07  2.01683763445880E-03  1.29883057859486E+02
 5.09307772895176E+07  2.03635589848220E-03  1.30198556575123E+02
 5.10483361925911E+07  2.05606699766180E-03  1.30514896911078E+02
 5.11661664462394E+07  2.07597289150299E-03  1.30832081649863E+02
 5.12842686767965E+07  2.09607556224323E-03  1.31150113586975E+02
 5.14026435120420E+07  2.11637700950440E-03  1.31468995530852E+02
 5.15212915812047E+07  2.13687926584152E-03  1.31788730302851E+02
 5.16402135149656E+07  2.15758437451197E-03  1.32109320737789E+02
 5.17594099454617E+07  2.17849439654651E-03  1.32430769683421E+02
 5.18788815062889E+07  2.19961142789963E-03  1.32753080001013E+02
 5.19986288325056E+07  2.22093757922696E-03  1.33076254565117E+02
 5.21186525606362E+07  2.24247498469544E-03  1.33400296263872E+02
 5.22389533286742E+07  2.26422579850501E-03  1.33725207998884E+02
 5.23595317760856E+07  2.28619220674863E-03  1.34050992685602E+02
 5.24803885438127E+07  2.30837640396621E-03  1.34377653252939E+02
 5.26015242742770E+07  2.33078062263327E-03  1.34705192644003E+02
 5.27229396113829E+07  2.35340711417748E-03  1.35033613815539E+02
 5.28446352005215E+07  2.37625814717640E-03  1.35362919738518E+02
 5.29666116885725E+07  2.39933602078419E-03  1.35693113397991E+02
 5.30888697239100E+07  2.42264306111562E-03  1.36024197793128E+02
 5.32114099564042E+07  2.44618161542322E-03  1.36356175937466E+02
 5.33342330374246E+07  2.46995405653178E-03  1.36689050858935E+02
 5.34573396198454E+07  2.49396277862502E-03  1.37022825600024E+02
 5.35807303580470E+07  2.51821021321129E-03  1.37357503217686E+02
 5.37044059079206E+07  2.54269880271696E-03  1.37693086783681E+02
 5.38283669268711E+07  2.56743102650822E-03  1.38029579384423E+02
 5.39526140738210E+07  2.59240938925730E-03  1.38366984121320E+02
 5.40771480092136E+07  2.61763641506863E-03  1.38705304110756E+02
 5.42019693950167E+07  2.64311466440201E-03  1.39044542484149E+02
