 2.50000000000000E+07  3.04566931454829E+00 -4.05505497751596E+02
 3.87500000000000E+07  7.63482698014820E+00 -2.18701308580874E+02
 5.25000000000000E+07  1.51533196162307E+01 -1.10269178704016E+02
 6.62500000000000E+07  2.65145438779761E+01 -3.49018967173845E+01
 8.00000000000000E+07  4.32056769422063E+01  2.55238327919942E+01
 9.37500000000000E+07  6.73800452297302E+01  7.74646377094104E+01
 1.07500000000000E+08  1.01281756774308E+02  1.22008407955326E+02
 1.21250000000000E+08  1.46682433017164E+02  1.56209321682250E+02
 1.35000000000000E+08  2.02422047770077E+02  1.73923995428620E+02
 1.48750000000000E+08  2.64186413287159E+02  1.67057864389649E+02
 1.62500000000000E+08  3.13177749249697E+02  1.36317436978713E+02
 1.76250000000000E+08  3.40035719663203E+02  9.04945569440830E+01
 1.90000000000000E+08  3.42219197437347E+02  4.42934642561062E+01
 2.03750000000000E+08  3.26673076386248E+02  9.03902309495558E+00
 2.17500000000000E+08  3.02679718178605E+02 -1.19238946367787E+01
 2.31250000000000E+08  2.76456229174287E+02 -2.37659529965981E+01
 2.45000000000000E+08  2.53519909019135E+02 -2.10959716480885E+01
 2.58750000000000E+08  2.34870985361704E+02 -1.09987057399938E+01
 2.72500000000000E+08  2.20064676015415E+02  5.36584535335329E+00
 2.86250000000000E+08  2.19414614018567E+02  2.00314884687387E+01
 3.00000000000000E+08  2.18998852064110E+02  3.78523026229371E+01
